Authors, Author(s) ID, Title, Year
"Olszewski T.K,Bieniek M,Skowerski K","12242182900; 6701585703; 36195199100","Ruthenium-Based Complexes Bearing Quaternary Ammonium Tags as Versatile Catalysts for Olefin Metathesis: From the Discovery to Practical Applications",2020
"Faugno W.N,Balram A.C,Wójs A,Jain J.K","57202740303; 35502916100; 7004416503; 7102269763","Theoretical phase diagram of two-component composite fermions in double-layer graphene",2020
"Wigger D,Karakhanyan V,Schneider C,Kamp M,Höfling S,Machnikowski P,Kuhn T,Kasprzak J","52365464200; 57214878125; 16426654300; 7005929919; 22035228900; 6701755717; 14421216800; 7007080579","Acoustic phonon sideband dynamics during polaron formation in a single quantum dot",2020
"Mierzejewski M,Vidmar L","7003815262; 36939067700","Quantitative Impact of Integrals of Motion on the Eigenstate Thermalization Hypothesis",2020
"Stolpp J,Herbrych J,Dorfner F,Dagotto E,Heidrich-Meisner F","57203990345; 54083167700; 56543714600; 57200972763; 6602817695","Charge-density-wave melting in the one-dimensional Holstein model",2020
"Podemski P,Musiał A,Gawarecki K,Maryński A,Gontar P,Bercha A,Trzeciakowski W.A,Srocka N,Heuser T,Quandt D,Strittmatter A,Rodt S,Reitzenstein S,Sȩk G","14047294000; 26534783000; 36459801500; 54585742100; 57203150837; 6701773918; 6701430583; 57194587474; 57188828069; 55469388400; 7004373432; 55890905900; 6602684754; 7003271102","Interplay between emission wavelength and s-p splitting in MOCVD-grown InGaAs/GaAs quantum dots emitting above 1.3 μ m",2020
"Wiȩckowski A,Mierzejewski M,Kupczyński M","57212557407; 7003815262; 57202804300","Majorana phase gate based on the geometric phase",2020
"Bieniek M,Szulakowska L,Hawrylak P","57191189949; 57191293435; 57190849862","Effect of valley, spin, and band nesting on the electronic properties of gated quantum dots in a single layer of transition metal dichalcogenides",2020
"Cepiński W,Kowalski P,Szałański P","57194464727; 55263392300; 57194472036","Waste heat recovery by electric heat pump from exhausted ventilating air for domestic hot water in multi-family residential buildings | Odzysk ciepła odpadowego za pomocą elektrycznej pompy ciepła z wywiewanego powietrza wentylacyjnego do systemu ciepłej wody użytkowej w wielorodzinnych budynkach mieszkalnych",2020
"Bartnicki G,Nowak B","55263496100; 55263262700","The gas fuel market in Poland and the costs of final heat generated in a local boiler house | Rynek paliw gazowych w Polsce a koszty końcowej energii cieplnej wytwarzanej w kotłowni lokalnej",2020
"Jȩdrzejewski A,Sznajd-Weron K","56964185900; 6701680061","Nonlinear q -voter model from the quenched perspective",2020
"Matuszewska A,Nowak B,Nikodem A,Jȩdrzejuk D,Szkudlarek D,Zduniak K,Filipiak J,Sznadruk-Bender M,Tomkalski T,Ceremuga I,Bolanowski M,Szeląg A","37124381000; 23020117900; 35079151100; 6602960101; 57208161369; 56160472500; 36778321400; 57220174783; 23053304000; 6508283001; 7003537848; 7004642106","Effects of efavirenz and tenofovir on bone tissue in Wistar rats",2020
"Jadczak J,Bryja L,Kutrowska-Girzycka J,Kapuściński P,Bieniek M,Huang Y.S,Hawrylak P","25627671800; 55932273900; 57208556022; 57195676914; 57191189949; 34770004900; 57190849862","Roomerature multi-phonon upconversion photoluminescence in monolayer semiconductor WS<inf>2</inf>",2020
"Gawełczyk M,Wyborski P,Podemski P,Reithmaier J.P,Höfling S,Sȩk G","54882407900; 57208484579; 14047294000; 7004689148; 22035228900; 7003271102","Excited states of neutral and charged excitons in single strongly asymmetric InP-based nanostructures emitting in the telecom C band",2019
"Roszak K,Korbicz J.K","12242263200; 8948932900","Entanglement and objectivity in pure dephasing models",2019
"Pawłowski J","56363096800","Spin-valley system in a gated MoS<inf>2</inf>-monolayer quantum dot",2019
"Mulak M,Mulak J","6602823921; 6602733692","Do We Properly Understand the Fitted Crystal-Field Parameters?",2019
"Jadczak J,Bryja L,Kutrowska-Girzycka J,Kapuściński P,Bieniek M,Huang Y.-S,Hawrylak P","25627671800; 55932273900; 57205188344; 57195676914; 57191189949; 34770004900; 57190849862","Room temperature multi-phonon upconversion photoluminescence in monolayer semiconductor WS <inf>2</inf>",2019
"Kurka M,Dyksik M,Golletz W,Środa M,Vital'Evich Romanov V,Dmitrievich Moiseev K,Motyka M","57190425009; 55968260400; 57212143475; 57207938555; 57212136361; 57212145565; 23091238100","Features of carrier confinement in InAsSb(P) alloys and quantum wells for room-temperature operating mid-infrared emitters",2019
"Gawarecki K,Zieliński M","36459801500; 15082051300","Importance of second-order deformation potentials in modeling of InAs/GaAs nanostructures",2019
"Klonowski M,Kowalski D.R,Mirek J","55914696700; 7005277945; 57203914894","Ordered and delayed adversaries and how to work against them on a shared channel",2019
"Peksa P,Trzmiel J,Fedoruk K,Gagor A,Šimenas M,Ciupa A,Pawlus S,Banys J,MacZka M,Sieradzki A","57194898634; 13106271700; 57211231514; 57202635813; 55865561500; 56167731300; 8071982500; 7003687871; 15725818100; 8678738100","Impact of the Copper-Induced Local Framework Deformation on the Mechanism of Structural Phase Transition in [(CH<inf>3</inf>)<inf>2</inf>NH<inf>2</inf>][Zn(HCOO)<inf>3</inf>] Hybrid Metal-Formate Perovskite",2019
"Mrowiński P,Musiał A,Gawarecki K,Dusanowski Ł,Heuser T,Srocka N,Quandt D,Strittmatter A,Rodt S,Reitzenstein S,Sȩk G","54780344900; 26534783000; 36459801500; 55179408300; 57188828069; 57194587474; 55469388400; 7004373432; 55890905900; 6602684754; 7003271102","Excitonic complexes in MOCVD-grown InGaAs/GaAs quantum dots emitting at telecom wavelengths",2019
"Kowalski P,Szaanski P","55263392300; 57194472036","Seasonal coefficient of performance of air-to-air heat pump and energy performance of a building in Poland",2019
"Torres M.U,Sitek A,Manolescu A","57196020132; 22735444200; 7004380794","Anisotropic light scattering by prismatic semiconductor nanowires",2019
"Plata M,Syga P,Klonowski M","57210072931; 55416077000; 55914696700","How to Save Your Face: A Facial Recognition Method Robust against Image Reconstruction",2019
"Klonowski M,Kowalski D.R,Mirek J,Wong P.W.H","55914696700; 7005277945; 57203914894; 9734871500","Performing Partially Ordered Sets of Jobs on a MAC in Presence of Adversarial Crashes",2019
"Radosz W,Orlik R,Pawlik G,Mitus A.C","55551276500; 12782884700; 7007035077; 7003961190","On complex structure of local free volume in bond fluctuation model of polymer matrix",2019
"Sitek A,Urbaneja Torres M,Manolescu A","22735444200; 57201524584; 7004380794","Corner and side localization of electrons in irregular hexagonal semiconductor shells",2019
"Machnikowski P,Gawarecki K,Cywiński Ł","6701755717; 36459801500; 12544974600","Hyperfine interaction for holes in quantum dots: K·p model HYPERFINE INTERACTION for HOLES in QUANTUM ... MACHNIKOWSKI, GAWARECKI, and CYWIŃSKI",2019
"Roszak K,Kwiatkowski D,Cywiński Ł","12242263200; 57195234274; 12544974600","How to detect qubit-environment entanglement generated during qubit dephasing",2019
"Kazimierczuk T,Bogucki A,Smoleński T,Goryca M,Faugeras C,Machnikowski P,Potemski M,Kossacki P","22734220500; 57198306291; 37089580300; 24343295300; 6603564121; 6701755717; 7006146512; 7005880157","Time-resolved magneto-Raman study of carrier dynamics in low Landau levels of graphene",2019
